	summarized	lineages	abundances	resid	coverage
SEARCH-226695__E0004271__O11__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.9999999288839815)]	XBB.1.5.81 XBB.1.5.78 XBB.1.16.23 XBB.1.5.50 XBB.1.5.83 XBB.1.5.84 FU.1 XBB.1.5.94 XBB.1.16.11 XBB.1.16 XBB.1.16.17 XBB.1.16.14 EU.1 EU.1.1 XBB.1.5.26	0.31281799 0.22547300 0.13293100 0.07396450 0.07289268 0.07289268 0.04880950 0.03703699 0.00824714 0.00824714 0.00237530 0.00119190 0.00104004 0.00104004 0.00104004	4.3780048849868205	91.20823997592215
SEARCH-226503__E0004271__A10__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.9998219387628895)]	XBB.1.5.84 XBB.1.5.77 XBB.1.5.42 XBB.1.5.69	0.96121024 0.01851850 0.01813049 0.00196271	2.2155930867348363	86.16192355282078
SEARCH-226884__E0004271__K14__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.9999999666050757)]	XBB.1.5.24 XBB.1.5	0.49999998 0.49999998	1.8091760413320985	71.26375280072233
SEARCH-226630__E0004271__M10__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('CH.1.1* [Omicron (CH.1.1.X)]', 0.9999999999986438)]	CH.1.1.18	1.00000000	2.6292373534228672	65.28776376952145
SEARCH-226853__E0004271__F14__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.9968210717172022)]	XBB.1.5.50 XBB.1.5.40 XBB.1.5.91 XBB.1.5.95 XBB.1.5.108	0.96986800 0.01680100 0.00608806 0.00260417 0.00145984	2.333666088204224	98.20419355917467
SEARCH-226789__E0004271__F13__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.9999999999998471)]	XBB.1.5.21	1.00000000	3.9979517796561796	54.76373607999197
SEARCH-226742__E0004271__H12__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.9999999827768002)]	XBB.1.5.78 XBB.1.5.40 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.28 XBB.1.5.12 XBB.1.5.104 HY.1 XBB.1.5.63 XBB.1.5.66 XBB.1.5.100 XBB.1.5.59 XBB.1.5.86 XBB.1.5.93 XBB.1.5.31	0.62424200 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487 0.02348487	2.087858864722061	51.75734876099388
SEARCH-226807__E0004271__K13__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.999999688519903)]	XBB.1.5.96 XBB.1.5.52 XBB.1.5.18 XBB.1.5.3 XBB XBB.1.5.62	0.51054885 0.12377002 0.12377002 0.12377002 0.11654077 0.00160000	5.766883289136296	80.82466642142928
SEARCH-226424__E0004271__J09__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.9999999537938015)]	XBB.1.5.102 XBB.1.5.67 XBB.1.5.107 XBB.1.5.92 XBB.1.5.66 XBB.1.5.4 XBB.1.5.12 XBB.1.5.30 XBB.1.5.2 XBB.1.5.18 XBB.1.5.3 XBB.1.5.31	0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333	1.5266748170852342	52.56997625656289
SEARCH-226743__E0004271__K12__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('CH.1.1* [Omicron (CH.1.1.X)]', 0.9999999999998158)]	CH.1.1.18	1.00000000	3.8012919233668763	92.3887235394442
SEARCH-226854__E0004271__D14__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('Omicron', 0.9999999740489672)]	XBB.1.5.19 XBB.1.5.61 XBB.1.5.65 XBB.1.5.76 XBB.1.5.78 XBB.1.5.83 XBB.1.5.88 XBB.1.5.6 XBB.1.5.39 XBB.1.5.56 XBB.1.5.17 XBB.1.5.9	0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333	0.9677595477371288	54.74032705748587
SEARCH-226694__E0004271__L11__240501_LH00444_0102_A22JGFWLT3__008.tsv	[('CH.1.1* [Omicron (CH.1.1.X)]', 0.9999999999976243)]	CH.1.1.18	1.00000000	2.8039745999391315	86.2789686653513
