	summarized	lineages	abundances	resid	coverage
03_04_24_ENCMAR01_R2__E0000000__X00__240308_LH00444_0069_B2257GFLT4__008.tsv	[('Omicron', 0.998344731780586)]	JN.1.1.5 JN.1.4.2 JN.1.1 JN.1.1.7 JN.1.1.1	0.76428932 0.19586800 0.02113515 0.01419400 0.00285825	6.487570588854305	97.53870849078687
03_04_24_SBFEB29_R2__E0000000__X00__240308_LH00444_0069_B2257GFLT4__008.tsv	[('Omicron', 0.9974699845362249)]	JN.1 JN.1.4.2 JN.1.4.3 JN.1.8.1 JN.1.18 KQ.1	0.88420287 0.07718051 0.01720966 0.00787238 0.00633303 0.00467153	6.119228598678989	97.82630505300472
03_04_24_PLFEB27_R1__E0000000__X00__240308_LH00444_0069_B2257GFLT4__008.tsv	[('Omicron', 0.9947700195487903)]	JN.1 JN.1.4.2 JN.1.8 JN.1.28 JN.1.4.3 JN.1.11 JN.1.9.1 JN.1.4	0.41524948 0.32506100 0.09818922 0.04673754 0.04027595 0.03753481 0.01976669 0.01195532	6.244202471076607	98.99006788616526
03_04_24_PLFEB25_R1__E0000000__X00__240308_LH00444_0069_B2257GFLT4__008.tsv	[('Omicron', 0.996508617262551)]	JN.1.4.2 JN.1.28 JN.1.16 JN.1.4.3 JN.1.1	0.46080643 0.42150523 0.07484050 0.03121657 0.00813988	9.007908402832769	98.95328227936996
03_04_24_PLFEB26_R1__E0000000__X00__240308_LH00444_0069_B2257GFLT4__008.tsv	[('Omicron', 0.9977527962527171)]	JN.1.4 JN.1 JN.1.7 JN.1.28 JN.1.1 JN.1.11 JN.1.8.1 JN.2.5 JN.1.4.2 JN.1.7.1	0.54856629 0.27170234 0.05380343 0.05121620 0.03149317 0.01453916 0.00986812 0.00946796 0.00438871 0.00270741	4.666045487226665	98.26438818847608
03_04_24_PLFEB28_R2__E0000000__X00__240308_LH00444_0069_B2257GFLT4__008.tsv	[('Omicron', 0.9975352809733496)]	JN.1.4.2 JN.1.11 JN.1.4.3 JN.1.4 KQ.1 JN.1.4.4 JN.1.28 JN.1.7.2	0.44064200 0.21927028 0.13583095 0.08589625 0.04536004 0.03820175 0.02093640 0.01139760	3.919989836364288	97.36481289502726
03_04_24_SBFEB27_R2__E0000000__X00__240308_LH00444_0069_B2257GFLT4__008.tsv	[('Omicron', 0.9969326763219817)]	JN.1 JN.1.4.2 JN.1.8.2 JN.1.20 JN.1.28 JN.1.4	0.46501337 0.32433300 0.14086600 0.06309360 0.00211371 0.00151300	6.736968730274358	98.78607497575494
03_04_24_ENCFEB29_R2__E0000000__X00__240308_LH00444_0069_B2257GFLT4__008.tsv	[('Omicron', 0.9970051630475134)]	JN.1.4 JN.1.5 JN.1.7 JN.1	0.81241032 0.08298560 0.07149600 0.03011324	3.246451595632056	96.53880881516905
03_11_24_PLMAR06_R2__E0000000__X00__240318_NextSeq_WW__001.tsv	[('Omicron', 0.9800266176910928), ('Other', 0.01804199999920497)]	JN.1.4 JN.1 JN.1.16 JN.1.4.3 JN.1.32 JN.1.8.1 XDP JN.1.4.4 JN.1.18 JN.1.1 JN.1.16.1 JN.1.8.2 KQ.1 JN.1.11	0.41896504 0.18928067 0.10781753 0.06767851 0.05673305 0.04364820 0.01804200 0.01715517 0.01635643 0.01587300 0.01535891 0.01505570 0.01416427 0.00194013	5.185405166534416	96.71604855700097
03_11_24_PLMAR03_R2__E0000000__X00__240318_NextSeq_WW__001.tsv	[('Omicron', 0.9969232939875151)]	JN.1.4.2 JN.1.7 JN.1.18 JN.1.9 JN.1.8 JN.1 JN.1.1.7 JN.1.5 JN.1.4.6 JN.1.32	0.46780848 0.14275500 0.09015761 0.07669846 0.07669846 0.07669846 0.03805260 0.02227600 0.00293552 0.00284271	5.165820126533635	93.94709560913621
03_11_24_PLMAR04_R2__E0000000__X00__240318_NextSeq_WW__001.tsv	[('Omicron', 0.9599247935039291), ('Other', 0.03796200000084112)]	JN.1 JN.1.8 JN.1.4.5 JN.1.1.4 XDP JN.1.1.6 JN.1.4.6	0.36050170 0.36050170 0.13131020 0.06048860 0.03796200 0.03667480 0.01044780	5.862693964990321	94.49219141892118
03_11_24_ENCMAR04_R2__E0000000__X00__240318_NextSeq_WW__001.tsv	[('Omicron', 0.9991964939960315)]	JN.1.8.1 JN.1.32 JN.1.4.3 KQ.1 JN.1.8.2 JN.1 JN.1.20 JN.1.18 JN.1.4.4 JN.1.4	0.50482037 0.30399097 0.07377979 0.07377979 0.00737463 0.00729284 0.00729284 0.00729284 0.00678621 0.00678621	4.829200798820194	82.95488746948466
03_11_24_SBMAR10_R1__E0000000__X00__240318_NextSeq_WW__001.tsv	[('Omicron', 0.9993460789744973)]	JN.1.32 JN.1 JN.1.8 JN.1.20 JN.1.7	0.33823552 0.19829769 0.19829769 0.19829769 0.06621750	6.237672733695048	86.41607865431563
03_11_24_SBMAR07_R1__E0000000__X00__240318_NextSeq_WW__001.tsv	[('Omicron', 0.9987267497184225)]	JN.1.5 JN.1.4 JN.1.7 JN.1.4.5 JN.1 JN.1.8 JN.1.4.6 JN.1.4.2	0.53184300 0.11578500 0.10563700 0.09208500 0.04898437 0.04898437 0.03560600 0.01980200	6.5117644305102225	95.84322643213055
03_11_24_PLMAR05_R1__E0000000__X00__240318_NextSeq_WW__001.tsv	[('Omicron', 0.8840348058630181), ('Other', 0.11458300000207582)]	JN.1.4.5 JN.1 XDP JN.1.26 JN.1.7 JN.1.1 JN.1.11 JN.1.4	0.31002000 0.29115321 0.11458300 0.08695650 0.07910750 0.06666670 0.03774790 0.01238300	5.670780577408637	94.6961843293315
03_11_24_ENCMAR08_R2__E0000000__X00__240318_NextSeq_WW__001.tsv	[('Omicron', 0.9995313959960163)]	JN.1.8 JN.1.18 JN.1.9 JN.1.20 JN.1 JN.1.1 JN.1.4 JN.1.4.4 JN.2.5	0.14703388 0.14703388 0.14703388 0.14703388 0.14703388 0.14285700 0.05928200 0.05928200 0.00294100	3.423375924122135	82.05196802996355
