Sample,sample_collection_datetime,viral_load
9.6.22.ENCSEP01.R1.redo3__NA__NA__220922_WW__00X.tsv,9/1/22,
9.8.22.SBSEP01.R1.redo3__NA__NA__220922_WW__00X.tsv,9/1/22,
9.8.22.PLSEP04.R1.redo3__NA__NA__220922_WW__00X.tsv,9/4/22,
9.8.22.SBSEP04.R1.redo__NA__NA__220922_WW__00X.tsv,9/4/22,
9.6.22.ENCSEP05.R1__NA__NA__220922_WW__00X.tsv,9/5/22,
9.8.22.PLSEP05.R1.redo3__NA__NA__220922_WW__00X.tsv,9/5/22,
9.6.22.ENCSEP06.R1.redo3__NA__NA__220922_WW__00X.tsv,9/6/22,
9.8.22.PLSEP06.R1.redo3__NA__NA__220922_WW__00X.tsv,9/6/22,
9.8.22.PLSEP07.R1.redo3__NA__NA__220922_WW__00X.tsv,9/7/22,
9.13.22.ENCSEP07.R1__NA__NA__220915_WW__00X.tsv,9/7/22,
9.15.22.SBSEP08.R1__NA__NA__220915_WW__00X.tsv,9/8/22,
9.15.22.PLSEP11.R1__NA__NA__220915_WW__00X.tsv,9/11/22,
9.15.22.PLSEP12.R1__NA__NA__220915_WW__00X.tsv,9/12/22,
9.15.22.PLSEP13.R1__NA__NA__220915_WW__00X.tsv,9/13/22,
9.15.22.SBSEP13.R1__NA__NA__220915_WW__00X.tsv,9/13/22,
9.28.22.ENCSEP13.R2__NA__NA__220929_WW__00X.tsv,9/13/22,
9.15.22.PLSEP14.R1__NA__NA__220915_WW__00X.tsv,9/14/22,
9.28.22.ENCSEP14.R1__NA__NA__220929_WW__00X.tsv,9/14/22,
9.22.22.SBSEP15.R1__NA__NA__220922_WW__00X.tsv,9/15/22,
9.28.22.ENCSEP15.R2__NA__NA__220929_WW__00X.tsv,9/15/22,
9.28.22.ENCSEP16.R1__NA__NA__220929_WW__00X.tsv,9/16/22,
9.22.22.PLSEP18.R1__NA__NA__220922_WW__00X.tsv,9/18/22,
9.22.22.SBSEP18.R1__NA__NA__220922_WW__00X.tsv,9/18/22,
9.22.22.PLSEP19.R1__NA__NA__220922_WW__00X.tsv,9/19/22,
9.22.22.PLSEP20.R1__NA__NA__220922_WW__00X.tsv,9/20/22,
9.28.22.ENCSEP20.R2__NA__NA__220929_WW__00X.tsv,9/20/22,
9.22.22.PLSEP21.R1__NA__NA__220922_WW__00X.tsv,9/21/22,
9.22.22.SBSEP21.R1__NA__NA__220922_WW__00X.tsv,9/21/22,
9.28.22.ENCSEP21.R1__NA__NA__220929_WW__00X.tsv,9/21/22,
9.28.22.ENCSEP22.R2__NA__NA__220929_WW__00X.tsv,9/22/22,
9.29.22.SBSEP22.R1__NA__NA__220929_WW__00X.tsv,9/22/22,
9.28.22.ENCSEP23.R1__NA__NA__220929_WW__00X.tsv,9/23/22,
9.29.22.PLSEP25.R2__NA__NA__220929_WW__00X.tsv,9/25/22,
9.29.22.SBSEP25.R1__NA__NA__220929_WW__00X.tsv,9/25/22,
9.28.22.ENCSEP26.R2__NA__NA__220929_WW__00X.tsv,9/26/22,
9.29.22.PLSEP26.R1__NA__NA__220929_WW__00X.tsv,9/26/22,
9.28.22.ENCSEP27.R1__NA__NA__220929_WW__00X.tsv,9/27/22,
9.29.22.SBSEP27.R1__NA__NA__220929_WW__00X.tsv,9/27/22,
9.29.22.PLSEP28.R2__NA__NA__220929_WW__00X.tsv,9/28/22,
10.11.22.ENCOCT06.R2__NA__NA__221013_WW__00X.tsv,10/6/22,
10.13.22.PLOCT09.R2__NA__NA__221013_WW__00X.tsv,10/9/22,
10.13.22.SBOCT09.R2__NA__NA__221013_WW__00X.tsv,10/9/22,
10.13.22.PLOCT10.R2__NA__NA__221013_WW__00X.tsv,10/10/22,
10.13.22.SBOCT10.R2__NA__NA__221013_WW__00X.tsv,10/10/22,
10.11.22.ENCOCT11.R2__NA__NA__221013_WW__00X.tsv,10/11/22,
10.13.22.PLOCT11.R2__NA__NA__221013_WW__00X.tsv,10/11/22,
10.13.22.PLOCT12.R2__NA__NA__221013_WW__00X.tsv,10/12/22,
9.13.22.ENCSEP12.R1__NA__NA__220915_WW__00X.tsv,10/12/22,
10.20.22.SB13.R1__NA__NA__221020_WW__00X.tsv,10/13/22,
10.18.22.ENC14.R1__NA__NA__221020_WW__00X.tsv,10/14/22,
10.20.22.PL16.R1__NA__NA__221020_WW__00X.tsv,10/16/22,
10.18.22.ENC17.R1__NA__NA__221020_WW__00X.tsv,10/17/22,
10.20.22.PL17.R1__NA__NA__221020_WW__00X.tsv,10/17/22,
10.20.22.PL18.R1__NA__NA__221020_WW__00X.tsv,10/18/22,
10.20.22.PL19.R1__NA__NA__221020_WW__00X.tsv,10/19/22,
10.20.22.SB19.R1__NA__NA__221020_WW__00X.tsv,10/19/22,
