Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5,55.0%,"[55.00% , 55.00%]"
BQ.1.1.52,55.0%,"[55.00% , 55.00%]"
ED.3,55.0%,"[55.00% , 55.00%]"
BQ.1.2,55.0%,"[55.00% , 55.00%]"
XBB.1.5.17,55.0%,"[55.00% , 55.00%]"
BQ.1.1.68,55.0%,"[55.00% , 55.00%]"
XBB.1.5.1,55.0%,"[55.00% , 55.00%]"
BQ.1.1.58,55.0%,"[55.00% , 55.00%]"
BQ.1.1,55.0%,"[55.00% , 55.00%]"
XBB.1.1,55.0%,"[55.00% , 55.00%]"
BQ.1.28,55.0%,"[55.00% , 55.00%]"
CM.8.1,55.0%,"[55.00% , 55.00%]"
XBB.1.13,55.0%,"[55.00% , 55.00%]"
BQ.1.1.4,55.0%,"[55.00% , 55.00%]"
XBB.1.9,55.0%,"[55.00% , 55.00%]"
EN.1,55.0%,"[55.00% , 55.00%]"
BQ.1.1.13,55.0%,"[55.00% , 55.00%]"
BQ.1.1.48,55.0%,"[55.00% , 55.00%]"
BQ.1.1.2,55.0%,"[55.00% , 55.00%]"
BQ.1.1.25,55.0%,"[55.00% , 55.00%]"
BQ.1.23,55.0%,"[55.00% , 55.00%]"
XBB.1.5.20,55.0%,"[55.00% , 55.00%]"
Other,55.0%,"[55.00% , 55.00%]"
