	summarized	lineages	abundances	resid	coverage
3.22.23.SBMAR19.R2.rerun__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.6768760519366643), ('Omicron', 0.2452293099846879), ('BA.5* [Omicron (BA.5.X)]', 0.01738660800011078), ('BQ.1* [Omicron (BQ.1.X)]', 0.007934389999557477)]	XBB.1.5.20 XBB.1.16 XBB.1.9.1 XBB.1.5.17 XBB.1.5.16 XBB.1.5.15 XBB.1.30 BF.38.3 XBB.1.5.31 XBB.1.13 DR.1 BE.2 CP.1.1 XBB.1.17.1 BE.12 BW.1.1.2 XBB.1.7 BQ.1.15.1 XBB.1.5.19 XBB.1.5.39 XBB.1.5.24 BF.7.5.1 XBB.1.12 BA.2.8 BQ.1.30 XBB.1.5.35 XQ XBB.1.5.1 FB.1 BA.2.45 XBB.1.5.14 BE.8 XBB.1.5.23 BA.2.10.4 BF.7.17 XBB.1.18.1 XBB.1.11.1 BE.1.4.3 CZ.1	0.50025100 0.12510198 0.09574383 0.08803917 0.05818822 0.01741752 0.00866146 0.00337981 0.00322004 0.00310559 0.00267482 0.00264441 0.00262939 0.00233645 0.00196464 0.00190259 0.00169062 0.00168539 0.00166482 0.00163177 0.00157068 0.00152905 0.00145033 0.00142876 0.00134771 0.00129506 0.00125468 0.00124121 0.00122077 0.00119474 0.00118835 0.00118203 0.00116822 0.00114155 0.00113812 0.00109595 0.00102337 0.00101657 0.00100570	9.562359726175039	98.37140086278968
3.22.23.SBMAR16.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.8879238481035219), ('Omicron', 0.06506375229493296), ('BQ.1* [Omicron (BQ.1.X)]', 0.0031127900035499735), ('BA.5* [Omicron (BA.5.X)]', 0.001023790000901126)]	XBB.1.5 XBB.1.5.20 XBB.1.16 XBB.1.5.15 FD.2 XBB.1.5.6 XBB.1.5.21 XBB.1.30 XBB.1.15 XBB.1.13 XBB.2.8 XBB.1.5.26 XBB.1.5.35 XBB.1.5.37 XBB.1.5.39 XBB.1.17 XBB.1.9.1 XBB.1.5.31 XBB.1.5.36 XBB.1.5.9 XBB.1.27 XBB.1.5.33 FE.1 EK.2 XBB.1.21 FH.1 XBB.1.12 XBB.1.5.23 XBB.1.5.11 XBB.2.7 FD.1.1 XBB.3.1 XBB.1.5.8 XBB.1.5.5 XBB.1.5.32 BQ.1.1.39 XBB.1.11 EV.1 BW.1.1.1 FG.3 BQ.1.1.59	0.68986746 0.10186538 0.03135378 0.02489613 0.01637467 0.01189370 0.01107110 0.00548562 0.00474965 0.00467563 0.00400105 0.00375059 0.00292006 0.00279070 0.00255661 0.00227654 0.00214746 0.00213220 0.00200723 0.00191205 0.00175963 0.00171551 0.00169529 0.00167224 0.00166895 0.00164688 0.00162984 0.00161580 0.00144283 0.00135080 0.00132770 0.00121771 0.00120519 0.00117746 0.00107148 0.00106768 0.00105180 0.00103806 0.00102379 0.00101088 0.00100705	12.090024633221937	99.34789151590141
3.23.23.ENCMAR21.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9216246318107083), ('Omicron', 0.06116648297629701)]	XBB.1.5.20 XBB.1.5 XBB.1.5.10 XBB.1.5.4 XBB.1.5.15 XBB.1.15 XBB.1.5.1 XBB.1.22 XBB.1.5.16 XBB.1.5.37 XBB.1.5.23 XBB.1.5.39 XBB.1.30 FE.1 XBB.1.17.1 XBB.1.5.34 EK.3 XBB.1.5.33 XBB.1.5.35 FD.1.1 XBB.1.5.11 XBB.1.5.38 EK.2 XBB.1.5.24 XBB.3.1 XBB.1.5.21	0.43452528 0.23318359 0.07970302 0.06378938 0.02985230 0.02653799 0.02405110 0.02360426 0.01225920 0.01144160 0.00799467 0.00635324 0.00411523 0.00321658 0.00246165 0.00229358 0.00223214 0.00221337 0.00208488 0.00198610 0.00193458 0.00175467 0.00158061 0.00125366 0.00123077 0.00113766	8.984729918595763	96.17095274721599
3.24.23.PLMAR22.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.842463896153501), ('Omicron', 0.10431959729691777), ('BQ.1* [Omicron (BQ.1.X)]', 0.005063072405185163), ('BA.5* [Omicron (BA.5.X)]', 0.004396466057594792)]	XBB.1.5 XBB.1.5.20 XBB.1.5.39 XBB.1.9.2 XBB.1.9.1 XBB.1.5.32 XBB.1.5.11 XBB.1.5.12 XBB.1.5.15 XBB.1.5.13 EK.3 XBB.1.5.26 XBB.1.5.35 XBB.1.5.37 XAS XBB.1.5.31 FE.1 BA.4.1.7 XBB.1.5.21 XBB.1.5.38 XBB.1.5.23 FG.3 BE.13 BQ.1.1.39 XBB.1.5.14 XBB.1.22.2 EG.1 BQ.1.1.50 BA.4.1.8 BQ.1.10.3 BA.4.4 XBB.1.16 XBB.1.17 BW.1.1.1 BF.11.4 FG.1	0.37798402 0.23503859 0.06195830 0.04402799 0.04244014 0.04083410 0.04074900 0.01886790 0.01631505 0.01552079 0.00592885 0.00526064 0.00436141 0.00417827 0.00399509 0.00299593 0.00299501 0.00250000 0.00242326 0.00241976 0.00238379 0.00224467 0.00221729 0.00218110 0.00192959 0.00169300 0.00153369 0.00151833 0.00144449 0.00136364 0.00130947 0.00121277 0.00116795 0.00110579 0.00107339 0.00106998	12.145980124745448	97.46179313112397
3.23.23.ENCMAR17.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.944118277412282), ('Omicron', 0.02010334587576092), ('BQ.1* [Omicron (BQ.1.X)]', 0.015759279750379634), ('Other', 0.0023765206730492518), ('BA.5* [Omicron (BA.5.X)]', 0.001302079864359326), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.001259275871177772)]	XBB.1.5.20 XBB.1.5.35 XBB.1.5.15 XBB.1.5.23 XBB.1.5.16 XBB.1.5.19 XBB.1.5.21 XBB.1.5.26 XBB.1.5.4 XBB.1.5.36 XBB.1.5.11 XBB.1.5.10 XBB.1.5.37 BA.2.11 BQ.1.1.10 XBB.1.5.39 FE.1 XQ EE.1 BQ.1.1.29 XBB.1.5.24 XBB.1.20 BA.2.53 BQ.1.1.39 BQ.1.1.70 XBB.1.7 XBU XBB.1.5.38 XBB.1.5.33 XBB.7 BQ.1.1.24 B.1.1.418 XBZ CZ.1 BR.2.1 DK.1 B.58	0.44948928 0.16917000 0.07084190 0.05641392 0.03846150 0.03571430 0.02958580 0.02018630 0.01995206 0.01923080 0.01065530 0.01032022 0.00574713 0.00555972 0.00369624 0.00354610 0.00337838 0.00311049 0.00264550 0.00218818 0.00202020 0.00196721 0.00184502 0.00183824 0.00151324 0.00144718 0.00142959 0.00140252 0.00138094 0.00136575 0.00135105 0.00130605 0.00130208 0.00128921 0.00125928 0.00123762 0.00107047	9.886472994702274	91.53262214493529
3.29.23.PLMAR19.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.7810440599766503), ('Omicron', 0.15451831282453551), ('BQ.1* [Omicron (BQ.1.X)]', 0.00448849218798505), ('BA.5* [Omicron (BA.5.X)]', 0.0030874072245580687), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0011597899983380876)]	XBB.1.5.20 XBB.1.5 XBB.1.5.15 XBB XBB.1.30 XBB.1.9.4 XBB.1.9 XBB.1.5.21 XBB.1.5.14 XBB.1.13 XBB.1.5.2 XBB.1.5.28 XBB.1.5.36 XBB.1.5.35 FE.1 XBB.1.5.10 XBB.1.17 XBB.1.5.23 XBB.1.5.26 XBB.1.5.39 XBB.1.12 XBB.2.1 XBB.1.5.19 XBB.1.4.1 XBB.1.11 BW.1.1.2 XBB.1.5.33 XBB.1.15 XBB.1.21 EB.1 XBB.1.5.37 XBB.1.27 XBB.3.1 XAJ BA.2.75.8 BQ.1.1.39 BQ.1.1.35 BQ.1.10.3 XBB.1.5.29 EK.1 BQ.1.8.2 EM.1 XBB.1.5.38	0.41147724 0.25794450 0.04040855 0.03450055 0.03393162 0.02649690 0.02587668 0.01691440 0.01543367 0.01437135 0.00765306 0.00636656 0.00343938 0.00316608 0.00258872 0.00243705 0.00242968 0.00241222 0.00234329 0.00199582 0.00198216 0.00189852 0.00184900 0.00175901 0.00169276 0.00158955 0.00157001 0.00156413 0.00156267 0.00149786 0.00141044 0.00136799 0.00133403 0.00116154 0.00115979 0.00115786 0.00115486 0.00110217 0.00107585 0.00107373 0.00107360 0.00107066 0.00100254	10.183097966732845	98.14734307594556
3.29.23.PLMAR26.R1.rerun__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.8797989485793547), ('Omicron', 0.07727458299917515), ('BQ.1* [Omicron (BQ.1.X)]', 0.011621422000240064), ('Other', 0.002959176000804695)]	XBB.1.5.20 XBB.1.5 XBB.1.5.32 XBB.1.9.1 XBB.1.5.13 XBB.1.5.28 EM.1 FG.3 XBB.1.5.15 XBB.1.16.1 XBB.1.5.35 XBB.1.9.4 XBB.1.27 XBB.1.5.37 XBB.1.5.31 BQ.1.1.62 XBB.1.5.39 XBB.1.5.10 BQ.1.1.59 XBL XBB.1.5.8 CZ.1 XBB.1.5.19 CZ.2 XBB.1.5.11 FE.1 BQ.1.30 XBB.1.15 B.58 EK.3 EV.1 FH.1 BQ.1.1.60	0.38038592 0.29221369 0.08000000 0.05995153 0.03184125 0.03127764 0.01461990 0.01388890 0.01193212 0.00626959 0.00569387 0.00436335 0.00422790 0.00333333 0.00290698 0.00279065 0.00258440 0.00255102 0.00241271 0.00175593 0.00157807 0.00153421 0.00149701 0.00147710 0.00127374 0.00124121 0.00123122 0.00122100 0.00120325 0.00118483 0.00115207 0.00103627 0.00102346	10.257736936707587	94.34504899173996
3.23.23.ENCMAR20.R2.rerun__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.8925200999913896), ('Omicron', 0.08743401457061974)]	XBB.1.5.32 XBB.1.5.15 XBB.1.5.10 XBB.1.15 XBB.1 XBB.2.4 XBB.1.4 XBB.1.5.37 XBB.1.5.39 XBB.1.5.23 XBB.1.25 XBB.2.3.1 XBB.1.5.19 XBB.3.1 XBB.2.1 XBB.1.11.1	0.73595500 0.08382150 0.06310680 0.05663430 0.01059021 0.00768391 0.00497810 0.00347222 0.00276587 0.00190840 0.00168470 0.00160411 0.00149031 0.00148533 0.00143926 0.00133410	8.802628784833768	95.68939571280474
3.22.23.SBMAR14.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.7201481199314509), ('Omicron', 0.25919110608274837)]	XBB.1.5.20 XBB.1.5.35 XBB.1.22 XBB.1.16 XBB.1.5.28 XBB.1.5.15 XBB.1 XBB.1.5.13 XBB.1.9.4 XBB.1.19 FD.1.1 XBB.3.1 XBB.1.5.27 XBB.2.3 XBB.1.5.39 EK.2.1 XBB.1.27 XBB.1.5.11 XBB.6.1 XBB.1.17.1 XBB.1.5.19 FE.1 XBB.1.5.31 XBB.1.5.32 XBB.1.5.5 XBB.1.25 XBB.1.5.24 XBB.1.3 XBB.1.9.3 XBB.1.5.16 XBB.1.22.2 XBB.1.18.1 EK.3 XBB.1.16.1 XBB.1.5.23	0.35910070 0.16895700 0.08654856 0.08515131 0.08288435 0.06141478 0.04799358 0.02294042 0.01368702 0.00361011 0.00280112 0.00274788 0.00273349 0.00273010 0.00259605 0.00228571 0.00220022 0.00206868 0.00205957 0.00205550 0.00193143 0.00192678 0.00178571 0.00169348 0.00164069 0.00161355 0.00156047 0.00153315 0.00143988 0.00139712 0.00136193 0.00130947 0.00124766 0.00122249 0.00110926	10.149965682271052	97.13072266996622
3.24.23.PLMAR21.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv	[('Omicron', 0.6446553576937619), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.32352764200491846)]	XBB.1.16.1 XBB.1.5.20 XBB.1.16 XBB.1.22 XBB.1.9 XBB.1.30 XBB.1.5.10 XBB.1.5.11 FG.3 XBB.1.21 XBB.1.5.26 XBB.1.4 XBB.1.5.23 XBB.1.5.39 FE.1 XBB.1.5.35 EK.3 EK.2.1 XBB.1.27 XBB.1.5.15 XBB.1.25 XBB.1.11.1 XBB.1.5.19 XBB.1.5.27 XBB.1.5.1 XBB.1.4.1 XBB.1.5.33 XBB.1.5.6	0.32107314 0.28617673 0.23887286 0.04269967 0.01826081 0.00805901 0.00492204 0.00445293 0.00430108 0.00358423 0.00344618 0.00342610 0.00315457 0.00276455 0.00241586 0.00201141 0.00200503 0.00194363 0.00183094 0.00173867 0.00162584 0.00160823 0.00159363 0.00150648 0.00134662 0.00119867 0.00111258 0.00105152	11.37284555739349	97.63568872688359
