Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.20,7.4%,"[-100.26% , 76.89%]"
XBB.1.30,6.5%,"[-1247.75% , 154.18%]"
XBB.1.9,6.0%,"[-1254.66% , 134.95%]"
XBB.1.5.39,56.4%,"[-1307.01% , 282.87%]"
XBB.1.9.2,56.2%,"[-1332.14% , 257.29%]"
XBB.1.5.11,56.1%,"[-1336.80% , 251.72%]"
XBB.1.5.12,55.8%,"[-1328.65% , 193.95%]"
XBB.1.5.32,52.7%,"[-91.72% , 257.76%]"
XBB.1.16.1,35.1%,"[-1333.97% , 365.41%]"
XBB.1.5.31,34.5%,"[-1340.12% , 212.59%]"
XBB.1.5.1,34.5%,"[-1339.55% , 220.91%]"
XBB.1.5,25.9%,"[-210.60% , 261.51%]"
XBB.1.5.10,25.4%,"[-1227.75% , 290.98%]"
XBB.1.15,18.7%,"[-1239.50% , 211.75%]"
XBB.1.5.13,159.0%,"[-2111.83% , 173.20%]"
XBB.1.9.1,126.2%,"[-1081.33% , 253.75%]"
EM.1,111.8%,"[-1399.41% , 122.09%]"
FG.3,108.8%,"[-1399.22% , 119.97%]"
XBB.1.5.23,1.4%,"[-1232.85% , 335.97%]"
XBB.1.16,-89.2%,"[-1652.95% , 96.90%]"
XBB.1.5.15,-81.1%,"[-199.90% , -35.12%]"
XBB.1.5.17,-8.5%,"[-1348.70% , 75.35%]"
XBB,-8.4%,"[-1342.35% , 89.03%]"
XBB.1.5.4,-8.4%,"[-1238.83% , 216.12%]"
XBB.1.5.19,-62.9%,"[-1332.08% , -4.32%]"
XBB.1.5.26,-62.7%,"[-1355.84% , -8.11%]"
XBB.1.5.36,-62.7%,"[-1367.35% , -4.62%]"
XBB.1.5.21,-50.6%,"[-1233.10% , 26.36%]"
XBB.1.5.16,-34.6%,"[-855.73% , 60.93%]"
Other,-3.3%,"[-45.12% , 15.19%]"
XBB.1.22,-2630.0%,"[-2732.52% , 194.45%]"
XBB.1.5.28,-2621.0%,"[-2700.20% , 160.32%]"
XBB.1,-2326.3%,"[-2424.39% , -800.81%]"
XBB.1.5.35,-221.7%,"[-2995.05% , -109.79%]"
XBB.1.9.4,-1740.2%,"[-2033.06% , 19.90%]"
FD.2,-103.1%,"[-983.33% , -35.65%]"
