Sample,sample_collection_datetime,viral_load
3.22.23.SBMAR14.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,03/14/23 ,
3.22.23.SBMAR16.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv,03/16/23,
3.22.23.SBMAR19.R2.rerun__NA__NA__230330_WW_rerun__00X.tsv,03/19/23,
3.23.23.ENCMAR17.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv,03/17/23,
3.23.23.ENCMAR20.R2.rerun__NA__NA__230330_WW_rerun__00X.tsv,03/20/23,
3.23.23.ENCMAR21.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,03/21/23,
3.24.23.PLMAR21.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv,03/21/23,
3.24.23.PLMAR22.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,03/22/23,
3.29.23.PLMAR19.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,03/19/23,
3.29.23.PLMAR20.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,03/20/23,
3.29.23.PLMAR26.R1.rerun__NA__NA__230330_WW_rerun__00X.tsv,03/26/23,
3.29.23.SBMAR21.R1.rerun__NA__NA__230330_WW_rerun__00X.tsv,03/21/23,
