Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.34,73.8%,"[-2422.64% , 361.06%]"
XBB.1.5.9,73.1%,"[-2420.41% , 227.17%]"
FL.1,72.9%,"[-2403.04% , 214.43%]"
XBB.1.5,58.2%,"[-72.83% , 172.33%]"
XBB.1.5.35,57.8%,"[-787.57% , 247.09%]"
XBB.1.5.7,171.6%,"[-2457.31% , 210.27%]"
XBB.1.16,171.4%,"[-1270.08% , 207.02%]"
XAS,147.0%,"[-2441.52% , 245.06%]"
XBB.1.5.13,126.1%,"[-3644.06% , 440.26%]"
XBB.1.9.1,119.5%,"[-153.20% , 381.46%]"
XBB.1.5.12,104.0%,"[-2240.29% , 208.73%]"
XBB.1.9.2,100.0%,"[-647.86% , 254.04%]"
XBB.1.5.15,1.6%,"[-140.89% , 137.97%]"
XBB,-79.7%,"[-2419.32% , -13.60%]"
XBB.1.5.30,-79.4%,"[-2412.27% , 0.03%]"
XBB.1.5.32,-79.4%,"[-2471.81% , -9.23%]"
XBB.1.5.37,-78.5%,"[-2447.07% , -8.10%]"
XBB.1.5.23,-73.4%,"[-1343.17% , 96.23%]"
XBB.1.5.17,-69.0%,"[-351.63% , 41.62%]"
XBB.1.30,-67.0%,"[-4153.89% , 146.90%]"
XBB.1.5.20,-6.8%,"[-53.58% , 44.61%]"
XBB.1.13,-56.4%,"[-2254.58% , 80.70%]"
XBB.1.16.1,-509.8%,"[-4350.19% , -89.23%]"
XBB.1.5.10,-4245.7%,"[-4539.26% , -709.87%]"
XBB.1.22,-42.9%,"[-2311.37% , 93.45%]"
XBB.1.5.28,-4045.9%,"[-4490.20% , 275.55%]"
Other,-33.5%,"[-66.49% , 20.23%]"
XBB.1.9,-3291.8%,"[-3639.11% , -691.58%]"
XBB.1.5.31,-30.4%,"[-3822.40% , 188.47%]"
XBB.1.5.33,-299.6%,"[-3570.66% , -75.25%]"
XBB.1.9.4,-235.6%,"[-2085.57% , -131.79%]"
XBB.1.18.1,-151.4%,"[-1406.00% , -60.42%]"
