	summarized	lineages	abundances	resid	coverage
8.11.23.ENCAUG04.R2__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.7999999999909296), ('Other', 0.1999999999995474)]	EG.1.3 B.1.137 XBB.1.30	0.67500000 0.20000000 0.12500000	4.108767598268989	4.932615456643147
8.11.23.ENCAUG03.R2__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.9999999999972223)]	EG.1.3 XBB.1.16.16 XBB.1.16.19	0.66666700 0.20000000 0.13333300	2.890014706170824	4.143396983580243
7.26.23.PLJUL24.R2__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.9212081221570791), ('Other', 0.007214902002036615)]	XBB.1.5.10 XBB.1.9.2 EG.5.1.4 XBB.2.3.2 XBB.1.16 EG.5.1.1 EG.5.1.6 XBB.1.16.6 FL.1.5.1 EG.1 XBB.1.5.72 FU.1 XBB.1.5.49 EG.6.1 XBB.1.5.78 GZ.1 XBB.2.3.10 HK.3 FD.1.1 GY.7 XBB.1.5.51 FL.2.5 FY.3.1 XBB.1.16.19 GK.1 JA.1 XBB.1.16.7 FY.2 XBB.1.5.94 FE.1.1.2 HN.1 XBB.1.5.96 XBB.1.5.60 GV.1 XBB.2.3.3 FL.6 XBB.1.16.4 FL.2 FL.1.5 FL.4.2 GK.1.1 GJ.1.2 XBB.1.5.61 FD.4 XBB.1.5.76 EG.7 FL.24 HK.4 GJ.1 HH.2 XBB.1.5.23 FE.1.1.3 FY.2.1 FL.2.4 FL.8 EG.1.1 EG.4.2 EG.1.6 EG.4.4 XCF XBB.1.15.1 EG.11 GK.1.2 HW.1.1 FL.3.4 FE.1.1 XBB.1.27 EG.5.1 FT.3.1 XBB.1.43.1 FL.2.1 EK.3 XBB.1.5.50 EG.5.1.2 FY.6 XBB.1.7 HE.1 FE.1.1.4 XBB.1.16.15 XBB.2.3.9 HR.1 XBB.1.5.45 EU.1.1.3 FK.1.3.2 XBB.1.16.8 FL.18.1.1 FL.3.3 FL.2.3.1 XBL.2 GJ.1.2.1 HH.1.1 HA.1 HT.1 FL.10.1 EG.9 EK.2 XBB.1.36 XBB.1.5.19 DV.6.2 HQ.1 GJ.4 XBB.1.16.13 XBB.1.5.38 FL.20.1 XBB.2.3.7 XBB.1.35 EG.8 EG.1.8 XBB.1.45.1 GW.1 XBB.1.5.93 EG.1.7 HC.1 XBB.1.4.1 GY.3 FL.3.1 GJ.1.1 XBB.1.5.87 XBL.1 XBB.2.3.8 XBB.1.5.74 FP.1 EK.1	0.06872110 0.06731285 0.05456006 0.04767610 0.04325010 0.04166333 0.03681120 0.03513880 0.03490681 0.02473519 0.02295080 0.02064916 0.01949384 0.01450351 0.01426330 0.01406275 0.01359470 0.01338383 0.01241822 0.01194218 0.01129940 0.01052630 0.01045300 0.00988924 0.00897283 0.00840662 0.00816327 0.00765540 0.00764786 0.00679117 0.00653389 0.00624774 0.00621527 0.00602864 0.00591545 0.00588395 0.00566422 0.00563425 0.00539842 0.00508968 0.00476774 0.00468197 0.00447427 0.00445960 0.00443716 0.00438056 0.00399672 0.00380828 0.00379000 0.00374433 0.00370634 0.00354052 0.00326930 0.00313299 0.00310819 0.00301260 0.00275323 0.00270172 0.00264434 0.00243892 0.00235709 0.00233645 0.00230343 0.00228973 0.00228266 0.00222233 0.00213220 0.00208496 0.00205538 0.00200464 0.00194401 0.00191449 0.00188461 0.00188324 0.00185216 0.00181830 0.00172315 0.00171961 0.00170648 0.00169492 0.00168832 0.00166528 0.00164349 0.00163300 0.00160567 0.00155618 0.00144838 0.00142908 0.00142805 0.00139112 0.00137457 0.00136752 0.00136287 0.00133571 0.00132333 0.00130985 0.00130968 0.00130658 0.00128721 0.00127730 0.00127515 0.00125945 0.00125076 0.00124337 0.00122237 0.00121277 0.00121139 0.00119129 0.00119032 0.00114877 0.00114872 0.00113581 0.00112613 0.00112001 0.00110132 0.00110132 0.00107411 0.00106293 0.00105820 0.00101317 0.00100940 0.00100601 0.00100402	12.5189844340229	97.57214995150989
7.26.23.ENCJUL25.R2__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.9332069187442384), ('Other', 0.001142280000602241)]	GK.3 GS.1 HT.1 XBB.2.3.11 EG.2 FU.1 XBB.2.3.2 EG.4 XBB.1.5.65 FL.1.5.1 GJ.1.2 EG.5.1.1 XBB.1.16.16 XBB.1.16.6 EL.1 XBB.1.5.78 EG.5.1.3 XBB.1.5.76 HK.4 XBB.1.5.35 HA.2 XBB.1.5.13 XBB.1.5.44 FD.2 FU.5 XBB.3.1 XBB.1.16.5 GJ.1 EK.2.1 XBB.1.31.2 HZ.2 XBB.1.34.1 XBB.8.2 FL.2.3.1 EG.8 HP.1.1 EG.4.2 XBB.1.33 GE.1 GM.1 XBB.1.5.27 XBB.2.3.7 XBB.1.20 XBB.1.5.81 HE.1 FG.3 XBB.1.16.7 EG.5.2.1 GN.3 FU.2 XBL.1 GK.1.1 XBB.2.3.8 HU.2 GJ.4 HY.1 XBB.1.36	0.45476637 0.15831161 0.03892870 0.03281908 0.03190803 0.02550310 0.02296276 0.01972409 0.01810280 0.01271766 0.01258014 0.00919925 0.00555156 0.00527035 0.00482492 0.00444967 0.00418652 0.00397393 0.00354886 0.00353833 0.00327001 0.00324012 0.00319504 0.00265767 0.00238095 0.00228361 0.00220820 0.00219336 0.00211082 0.00173110 0.00172735 0.00168141 0.00166443 0.00164670 0.00161421 0.00155521 0.00152534 0.00152018 0.00150376 0.00147783 0.00137979 0.00135716 0.00134239 0.00133887 0.00132350 0.00126904 0.00126194 0.00122158 0.00120828 0.00117874 0.00114228 0.00113418 0.00108274 0.00101665 0.00101420 0.00101189 0.00101095	12.950708512882752	98.23094672775306
7.26.23.SBJUL18.R2__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.9169723439059928), ('Other', 0.006887037574699758)]	FL.2.5 EG.6 EG.6.1 XBB.1.5.59 XBB.1.5.100 XBB.1.42 XBB.1.5.43 FL.25 XBB.2.3.5 XBB.1.16.19 XBB.1.5.72 XBB.1.16 XBB.1.22 XBB.1.5.18 EG.5.1.4 XBB.1.5.80 XBB.1.5.1 XBB.1.48 XBB.1.5.37 XBB.1.5.73 XBB.1.16.6 XCF FL.6 FT.3 XBB.1.5.78 FE.1.1.3 XBB.1.5.76 XBB.1.5.57 FY.2.1 XBB.1.37 XBB.1.5.16 XBB.1.23 XBB.1.5.93 FL.8 XBB.1.5.35 FY.6 GW.1 XBB.1.5.36 XBB.1.5.64 FL.1.5 XBB.2.3.10 XBB.1.34.1 XBB.1.5.77 EG.4.2 XBB.2.3.7 FL.29 XBB.1.5.32 XBB.1.16.8 EG.11 FL.2.1 GJ.4 FL.22 FL.4.2 XBB.1.5.61 XBB.1.37.1 HA.2 XCF.1 XBB.1.5.31 XBB.1.5.52 XBB.1.16.15 HT.1 XBB.1.5.10 FL.3.3 EG.9 HE.1 XBB.2.10 XBB.1.5.34 FP.4 GA.4 XBB.1.9.6 FL.3.1 XBW XBB.2.3.9 HJ.1 GW.5 XBB.1.4.2 XBB.1.5.9 FL.10.1 XBB.1.5.19 GW.2 XBB.1.5.11 XBB.3.1 XBB.1.45.1 XBB.1.5.71 EK.2 FE.1.1.4	0.15364536 0.07988428 0.06405760 0.06247155 0.05508790 0.04973925 0.04683940 0.04619161 0.04224466 0.03645890 0.02849980 0.02744697 0.02314251 0.02021050 0.02020972 0.01477980 0.00975488 0.00842995 0.00589722 0.00502449 0.00459911 0.00433156 0.00409297 0.00388406 0.00378836 0.00359830 0.00350679 0.00339559 0.00324983 0.00304405 0.00295012 0.00287770 0.00264550 0.00262041 0.00243331 0.00240253 0.00232897 0.00230083 0.00227162 0.00213777 0.00211149 0.00195857 0.00177883 0.00177491 0.00175234 0.00167971 0.00166597 0.00164402 0.00161871 0.00157978 0.00155183 0.00153374 0.00152866 0.00152749 0.00148699 0.00143904 0.00141970 0.00132341 0.00130776 0.00127836 0.00125918 0.00125017 0.00124008 0.00122945 0.00121114 0.00120556 0.00120221 0.00119617 0.00117127 0.00115803 0.00115226 0.00113578 0.00112867 0.00112712 0.00111882 0.00111747 0.00111607 0.00110038 0.00109553 0.00108976 0.00108232 0.00101747 0.00100760 0.00100636 0.00100337 0.00100011	11.423898840601186	97.57549409758218
7.26.23.PLJUL23.R2__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.9225307413341886), ('Other', 0.014459847550666101)]	XBB.1.16.12 EG.5.1.4 XBB.1.16.19 XBB.1.5.59 XBB.1.16.7 EG.2 XBB.1.16.6 FL.5 XBB.1.5.72 FL.25 FY.2.1 XBB.1.5.33 EG.5.1.1 FT.3.1 FL.1.5 XBB.1.5.51 XBB.1.5.70 XBB.1.16.1 GV.1 HZ.1 FU.1 XBB.1.5.80 XBB.1.16.11 XBB.1.5.44 XBB.1.16.4 HY.1 EG.5.1.3 GJ.1.2.1 FL.29 HW.1.1 FL.4 FL.6 FL.20 FD.2 XBB.1.16.20 FU.2 FY.1.2 EG.1.3 FL.22 HN.1 FY.4 EK.3 XBB.1.16.16 FL.24 XCF XBB.1.16.8 FU.2.1 XBB.1.5.99 EG.6.1 FU.5 GK.1.2 FL.4.2 FY.4.1.1 EG.5.2.1 XBB.1.16.14 EG.4.2 FL.4.6 FL.8 FY.5 FD.4 EG.1.1 XBB.1.5.11 XBB.1.5.35 XBB.1.16.10 GG.1 FL.3.4 EG.9.1 XBB.1.16.5 XBB.1.27 XBB.1.5.13 GW.1 FE.1.2 FD.1.1 FY.6 FL.15 XBB.1.45.1 XBB.1.5.53 XBB.1.9.7 GN.3 FG.1 FL.16 XBB.1.5.34 HH.1.1 HT.1 GE.1 FL.11 FU.3.1 HA.2 FL.23 FL.13.3.1 FL.4.1 XBB.1.5.26 FL.2.3.1 HR.1 EG.5.1.5 GJ.3 FL.18.1.1 XBB.1.5.90 XBB.1.5.94 XBC.1.6.1 GJ.4 XBB.1.5.87 XBB.1.16.9 FL.3.1 XBC.1.6.4 HU.2 HG.1 XBB.1.5.45 EK.2.1 XBB.1.5.31 FY.3 XBJ.4 EG.4.4 FE.1 FL.9	0.06111643 0.05453247 0.05023740 0.04887298 0.04635089 0.04118763 0.04014600 0.03159214 0.03054260 0.02595155 0.02314450 0.02011200 0.01873956 0.01841200 0.01831377 0.01758230 0.01735382 0.01557012 0.01544280 0.01477270 0.01257040 0.01131570 0.01127876 0.01127821 0.01088130 0.01052802 0.01042836 0.00932714 0.00914531 0.00865374 0.00800388 0.00770837 0.00762036 0.00758754 0.00703497 0.00678624 0.00613787 0.00561845 0.00559138 0.00533134 0.00479936 0.00441136 0.00436962 0.00350894 0.00334700 0.00334471 0.00330086 0.00325973 0.00317222 0.00311284 0.00305810 0.00304339 0.00302708 0.00300188 0.00293290 0.00279694 0.00276307 0.00272374 0.00268207 0.00261667 0.00260417 0.00253384 0.00249910 0.00239078 0.00234939 0.00229641 0.00223595 0.00213995 0.00211416 0.00207029 0.00201503 0.00198152 0.00193974 0.00193790 0.00189449 0.00189240 0.00185775 0.00181178 0.00179078 0.00165399 0.00165289 0.00163988 0.00162646 0.00161964 0.00160064 0.00156031 0.00155642 0.00151712 0.00151100 0.00151037 0.00149231 0.00148040 0.00146163 0.00145293 0.00140301 0.00136719 0.00135542 0.00134348 0.00131153 0.00128976 0.00127660 0.00125982 0.00124193 0.00120192 0.00116935 0.00116046 0.00113947 0.00113830 0.00113705 0.00113459 0.00109364 0.00106592 0.00106496 0.00105046 0.00102082	14.526168097242415	97.77948700799251
8.11.23.PLAUG09.R2__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.9999999999998662)]	EG.1.3	1.00000000	2.018113633761038	0.7892184730629034
7.26.23.SBJUL23.R1__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.9313471624872943), ('Other', 0.0012309550217490346)]	XBB.1.5.28 FL.2.5 GS.1 FL.2 EG.5.1 XBB.1.5.10 XBB.1.5.49 FT.3 XBB.1.5.1 XBB.1.16.6 XBB.1.16 EG.5.1.4 XBB.2.3.11 FT.3.1 HS.1 XBB.1.5.76 FL.6 FY.5 FL.2.3 EG.6.1 XBB.1.37.1 GV.1 XBB.1.5.78 XBB.1.45 XBB.1.15.1 XBB.2.10 XBB.1.5.19 FL.2.1 XBB.1.5.27 FL.2.2 FL.24 FE.1.1.2 XBB.1.5.35 FY.6 XBB.1.5.63 XBB.1.5.37 FL.22 XBB.1.27 FL.29 FE.1.1.4 FL.2.3.1 FL.1.5.1 XBB.1.43.1 HG.1 XBB.1.31.2 XBB.1.5.57 XBB.2.1 HT.1 XBB.1.5.87 FY.2.1 HZ.2 XBB.1.5.61 XBB.1.37 XCF XBB.1.5.33 GJ.4 HU.2 XBB.1.5.23 GW.1 HU.1.1 HK.5 XBB.1.9.6 FL.10 FL.28 FY.4 XBB.1.5.75 XBB.1.5.92 FG.3 EG.9.1 XBB.1.5.99 XBB.1.34.1	0.30233036 0.07246380 0.06411790 0.05290839 0.05236748 0.04745978 0.04375764 0.03892770 0.03713052 0.03029632 0.02728169 0.02680635 0.01549065 0.01135030 0.00913838 0.00570179 0.00567015 0.00558141 0.00355952 0.00354437 0.00287908 0.00274628 0.00261780 0.00237239 0.00226559 0.00213402 0.00213137 0.00208160 0.00198939 0.00195372 0.00194713 0.00184804 0.00182227 0.00181512 0.00161221 0.00155357 0.00152517 0.00152497 0.00149671 0.00149130 0.00148810 0.00148268 0.00147059 0.00141743 0.00132714 0.00132551 0.00132538 0.00130976 0.00130695 0.00128170 0.00126678 0.00126636 0.00125144 0.00123096 0.00116800 0.00115562 0.00113579 0.00110851 0.00109290 0.00108977 0.00106103 0.00106073 0.00105016 0.00105005 0.00104941 0.00104384 0.00102787 0.00101946 0.00101249 0.00100806 0.00100143	12.318903947810679	99.2341905494432
7.26.23.ENCJUL20.R1__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.946327959906814), ('Other', 0.0035832800004847168)]	XBB.1.5.59 EG.5.1 XBB.1.16 EG.5 XBB.1.42 XBB.2.3.3 XBB.1.16.19 XBB.1.9.2 EG.5.1.1 GY.3 FD.1.1 XBB.1.42.1 XBB.1.16.6 XBB.1.5.73 HK.4 FL.20 XBB.1.5.72 FL.1.5.1 EG.2 FL.1.5 HH.1 XBB.1.16.16 EG.5.2.1 XBB.1.5.43 FE.1 GV.1 EU.1.1.3 EU.1.1.2 EG.5.2 XBB.1.16.2 HZ.2 XBB.1.5.80 GY.2 HN.1 EG.1 FD.2 XBB.1.5.35 FL.6 XBB.1.5.26 XBB.1.16.14 XCF XBB.1.5.68 XBB.1.16.18 FL.20.1 FL.8 XBB.1.5.45 XBB.1.31.2 GN.3 HA.2 XBB.1.16.13 HH.1.1 FL.24 GA.6.1 XBB.1.34 XBB.1.7 XBB.1.16.10 EG.11 FY.2.1 XBB.1.5.64 XBB.1.34.1 FU.5 XBB.1.45.1 XBB.1.5.23 EG.9 XBB.1.5.87 GM.1 EG.4.2 GJ.1.2.1 FL.29 HU.2 GK.1.2 GJ.4 XBB.1.16.17 XBB.1.5.31 XBB.1.43.1 FL.9 XBB.1.5.92 HD.1 XBB.1.5.14 EG.12	0.09620498 0.08025510 0.05543212 0.05448785 0.05203611 0.03698343 0.03130510 0.02934893 0.02928847 0.02739730 0.02420020 0.02354917 0.02329880 0.02211643 0.02066443 0.02034901 0.01950800 0.01882816 0.01744598 0.01579136 0.01503305 0.01502494 0.01389310 0.01338109 0.01227721 0.01169295 0.01080059 0.00989209 0.00981245 0.00895662 0.00870370 0.00851466 0.00794481 0.00693954 0.00665877 0.00564821 0.00543849 0.00503374 0.00484632 0.00385676 0.00358328 0.00323171 0.00273973 0.00269179 0.00252307 0.00246703 0.00239234 0.00224215 0.00223776 0.00193892 0.00182815 0.00177934 0.00176367 0.00171912 0.00164564 0.00162075 0.00159236 0.00154451 0.00149153 0.00147059 0.00145759 0.00142837 0.00142248 0.00141904 0.00138985 0.00133339 0.00127470 0.00127065 0.00124961 0.00121261 0.00120383 0.00119332 0.00118878 0.00116414 0.00109131 0.00107553 0.00106585 0.00105239 0.00105184 0.00102249	11.23363579043676	95.80644082533524
7.28.23.PLJUL25.R2__NA__NA__230816_WW__00X.tsv	[('Omicron', 0.9418294655904541), ('Other', 0.0011052352590378471)]	FL.5 HK.4 EG.6.1 FL.6 EG.5.1.4 FL.24 FL.29 XBB.1.5.72 GN.1.1 FL.21 XBB.1.16.7 FL.18 FL.1.5 FL.10.1 FL.8 GJ.4 FL.22 HL.1 EG.4.2 FL.2.3.1 FU.5 EG.1.3 FU.3.1 XBB.1.42.2 FL.3.3 XBB.1.16.16 EK.2 FL.9 FL.20.1 FL.4.6 HT.1 FL.13.3.1 FL.18.1 XBB.1.27 XBB.1.45.1 FL.26 HH.1 FY.2.1 FL.2.2 FL.17.1 XCF.1 GW.1 HC.1 FU.1 XBB.1.16.8 FL.4.2 EK.1	0.84205921 0.00572376 0.00544434 0.00527042 0.00487357 0.00422147 0.00408875 0.00378637 0.00352235 0.00347222 0.00337555 0.00323150 0.00280265 0.00235510 0.00230759 0.00226883 0.00203162 0.00193271 0.00188661 0.00183150 0.00182315 0.00172567 0.00169535 0.00167990 0.00165435 0.00159815 0.00159304 0.00159253 0.00154730 0.00149142 0.00145371 0.00144722 0.00136570 0.00131595 0.00122568 0.00122084 0.00119348 0.00115473 0.00112085 0.00110589 0.00110524 0.00109446 0.00106035 0.00105537 0.00105335 0.00104770 0.00102722	11.753383937246562	98.68909473965823
