	summarized	lineages	abundances	resid	coverage
12.11.23.PLDEC05.R2__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.8903540888791847), ('Other', 0.014939404682294155)]	HV.1 HV.1.1 JN.1 HK.12 JD.1.1.1 EG.5.1.4 EG.5.1.3 JG.3 BA.2.86.1 JF.1 HK.20.1 JN.1.1 EG.5.1.17 XBB.1.9.2 EG.5.1 HV.1.6.1 EG.5.1.13 EG.5.1.6 FL.1.5.2 KC.1 EG.7 JN.10 XBB.1.34.1 EG.8 EG.5.1.9 EG.11 BA.2.86.3 JG.3.1 XDF JD.1.1.6 HK.32 HK.26 EG.1.5 HK.13.1 JD.1.1.2 JD.1 JD.1.1.5 HK.3.4 BA.2.86.4 FL.20 HV.1.5 HK.1 XBB.1.16.24 XBB.2.3.9 HV.1.7 KB.3 XBB.1.16.27 HV.1.2 EG.4 XCH.1 HK.30 EG.5.1.2 JD.1.1.3 EG.9.1 HK.7 KB.2 XDG EG.12 JD.1.2 HK.2 EG.1.3 XCK JG.1 HK.13.2 EG.14 FL.24 HK.29 XCP GK.1.8 EG.5.1.16 HK.3.12 GK.1.10 KB.4 FL.4.5 XCZ HK.31 BA.2.59 GJ.6 JD.1.2.1 XBB.3.3 HF.1 EG.5.1.15 BA.2.10.4 XBB.1.15.1 HK.23.1 JN.3.1 XBB.8.2 XBB.2.3.18 HE.1 HK.26.1 HK.16 XCR HL.1 EG.1.4 BA.2.70 HG.1.1 XCW XBB.1.5.50 XBB.1.45.1 EG.5.1.12 HK.27.1.1 EG.2.4 GW.2 JD.2.1 BW.1.1.1	0.15438393 0.10978624 0.10444680 0.06514075 0.03193500 0.02994962 0.02510349 0.02245596 0.02215714 0.02170009 0.01844891 0.01777780 0.01685020 0.01387183 0.01336347 0.01153939 0.01103570 0.01003132 0.00758845 0.00693169 0.00644878 0.00629389 0.00616096 0.00557103 0.00530270 0.00509724 0.00497283 0.00424564 0.00416368 0.00415862 0.00405954 0.00405894 0.00399636 0.00397333 0.00355412 0.00351215 0.00346928 0.00303951 0.00302708 0.00298970 0.00297915 0.00287304 0.00285656 0.00284900 0.00273973 0.00272562 0.00270517 0.00268176 0.00262128 0.00237530 0.00220946 0.00216920 0.00202020 0.00201715 0.00201253 0.00178891 0.00178589 0.00175638 0.00171710 0.00171205 0.00160501 0.00158001 0.00151271 0.00149813 0.00149671 0.00149517 0.00148431 0.00148295 0.00145859 0.00144805 0.00141824 0.00138675 0.00138262 0.00137883 0.00136916 0.00132363 0.00131796 0.00127437 0.00124733 0.00124172 0.00122901 0.00122880 0.00122686 0.00122627 0.00121095 0.00116732 0.00115759 0.00114329 0.00113202 0.00112360 0.00112114 0.00112019 0.00109729 0.00108512 0.00108069 0.00106558 0.00106222 0.00105715 0.00103703 0.00103699 0.00103520 0.00103226 0.00101183 0.00101044 0.00100381	16.40327223820897	98.31120623348828
12.11.23.PLDEC06.R1__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.8883768649290397), ('Other', 0.017157407293002046)]	JN.1 EG.5.1.6 HK.12 HN.3 EG.5.1.4 FL.1.5.1 HV.1.2 FL.1.5.2 JD.1.1.1 JN.1.1 EG.5.1.16 JD.1 HK.20.1 EG.5.1.3 JN.1.2 EG.5.1.17 JG.3 JF.1 HK.26 HV.1.6 HK.30 EG.6.1 HK.26.1 BA.2.86.3 JG.3.1 XCK EG.5.1.7 HN.2 XDF BA.2.86.4 XCV HK.3.4 EG.5.2.4 HK.32 GK.1.6.1 HK.13.2 HK.13.1 XDG HK.7 XCP JD.1.1.6 HK.3.12 EG.5.1.12 JR.1 XBB.1.16.27 HV.1.1 HK.6 HK.29 KB.1 KB.3 EG.9.1 EG.14 EG.2.4 EG.5.2.2 EG.5.1.9 EK.1 HF.1.2 JD.2.1 XDC FL.20.1 FP.1 EG.5.1.15 HK.15 GW.1.1 XBB.1.5.90 HK.18 EG.4.1 JD.1.1.4 HK.27 HK.31 FW.3	0.17035047 0.15970509 0.06228113 0.05999142 0.05685575 0.04790612 0.04386484 0.02965976 0.02794242 0.02481580 0.01626775 0.01401324 0.01338760 0.01148922 0.01044960 0.00999452 0.00798935 0.00692168 0.00684732 0.00642716 0.00626856 0.00607837 0.00546848 0.00510186 0.00492975 0.00461792 0.00433839 0.00401500 0.00390477 0.00313234 0.00310238 0.00300922 0.00286042 0.00267290 0.00256970 0.00238663 0.00234029 0.00222234 0.00209641 0.00206020 0.00203666 0.00200315 0.00190182 0.00188395 0.00185168 0.00183060 0.00179491 0.00176445 0.00176160 0.00167926 0.00162250 0.00162160 0.00159190 0.00147947 0.00146466 0.00135770 0.00134170 0.00132431 0.00124980 0.00123640 0.00121842 0.00121482 0.00117555 0.00117371 0.00115151 0.00111118 0.00109051 0.00109000 0.00107887 0.00105584 0.00103959	17.560374891109397	98.85964618934555
12.04.23.SBNOV30.R1__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.9270838334148804), ('Other', 0.006146019998822925)]	JN.1 JN.8 EG.5 HV.1.6 HK.3.1 HK.19 HK.6 JD.1.1 EG.5.1.6 EG.5.1.3 FU.1 GK.1.6.1 FL.1.5.2 HK.30 JF.1 HK.3.4 XDA EG.5.1.9 XBB.1.16.24 HK.13.1 EG.5.1.12 JD.1.1.6 FU.5 HK.7 XBB.1.5.87 JD.1.2.1 JD.1.1.5 HK.13.2 EG.5.2.4 HK.3.12 JN.3 XBB.1.16.27 BA.2.86.3 HK.29 EG.2.2 HK.23.1 HK.3.13 GG.1 JD.1.1.2 EK.2.1 XBB.1.34.1 XDG EG.2.4 JG.1 BA.2.86.5 HV.1.2 GW.1.1 JD.1.1.4 JC.1 HK.31 XAA FP.2.1.1	0.26569564 0.15075859 0.06824224 0.06765830 0.06567813 0.06200141 0.05649720 0.02493428 0.02442148 0.02278367 0.01719491 0.01471584 0.01022281 0.00827130 0.00750378 0.00737965 0.00495663 0.00326131 0.00319303 0.00239249 0.00217088 0.00204439 0.00191571 0.00183952 0.00180261 0.00177539 0.00176786 0.00169014 0.00165905 0.00161068 0.00157534 0.00152672 0.00148893 0.00139893 0.00137274 0.00136240 0.00135135 0.00132560 0.00124622 0.00122241 0.00120710 0.00118939 0.00114482 0.00114099 0.00112360 0.00112150 0.00112108 0.00110525 0.00108298 0.00104185 0.00102627 0.00101548	19.800647307933747	98.5051667056817
12.11.23.PLDEC03.R1__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.9055933152196459), ('Other', 0.016665704008333573), ('A', 0.0010319900017909725)]	JG.3 HV.1.1 HV.1 EG.5.1.6 HK.19 JN.1 EG.5.1.4 BA.2.86.1 JN.1.2 FL.1.5.2 XBB.1.16.6 JN.10 JF.1 JN.1.1 EG.5.1.16 HK.20.1 JD.1.2.1 XDF HN.3 EG.5.1.13 JD.1.1.6 XBB.1.16.7 XCP KC.1 JD.1.1.5 HK.26 FL.4.5 EK.3 XCZ EG.14 XBB.1.16.8 JD.1.1.1 EG.7 FE.1.1.3 XBB.1.5.99 EG.8 HV.1.7 EG.5.1.17 JD.1 XBB.1.16.5 HF.1.2 XDG EG.11 GK.1.6 BA.2.86.3 XL HK.3.10 JD.1.1.2 XCH.1 XBB.1.5.50 HC.4 XBB.1.5.13 BA.2.86.5 XBB.1.15.1 HK.3.12 GN.1.1 HK.26.1 FU.1 HK.31 HK.25 XBB.1.16.27 GE.1.2 XBB.1.9.6 XCK XBB.1.5.87 HN.2 EK.2 HK.13.1 FL.4.6 EG.5.1.12 EG.4.2 HT.1 GK.1.10 XCV HK.3.2.1 HV.1.4 A.27 HV.1.2 XBB.2.3.18 FU.5 GJ.1.2.5	0.14527425 0.12429207 0.11450560 0.08295982 0.08114599 0.06199342 0.04474926 0.03619628 0.02884160 0.01847531 0.01332210 0.01268490 0.01250000 0.00785498 0.00672823 0.00628931 0.00524137 0.00511258 0.00480342 0.00380175 0.00375095 0.00349068 0.00328947 0.00312787 0.00302939 0.00273142 0.00261438 0.00245278 0.00240941 0.00230521 0.00227618 0.00226501 0.00214809 0.00213592 0.00212623 0.00209351 0.00208570 0.00198881 0.00198116 0.00192431 0.00190916 0.00187217 0.00184234 0.00179316 0.00177766 0.00174927 0.00169060 0.00167673 0.00161160 0.00160792 0.00160790 0.00158776 0.00156372 0.00154601 0.00140756 0.00140561 0.00139626 0.00138760 0.00136649 0.00131694 0.00131285 0.00130492 0.00129639 0.00129426 0.00129294 0.00129028 0.00126966 0.00118586 0.00115875 0.00115096 0.00112909 0.00112618 0.00109329 0.00107621 0.00105768 0.00105342 0.00103199 0.00102093 0.00101989 0.00100949 0.00100076	15.577127660526962	98.01357723305354
12.04.23.ENCNOV29.R2__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.8861748965570179), ('Other', 0.034064775176475756)]	HV.1.1 HK.13.1 HN.1 HK.12 HK.27.1 JN.1.1 EG.5.1.4 HV.1 HK.27 JN.1 JF.1 XCY EG.2 FL.1.4 HK.23 HK.27.1.1 HK.14 FL.1.5.2 EG.5.1.13 JD.1 XCZ GS.4.1 EG.5.1.15 JG.3.3 JG.3 HK.15 HK.30 FL.22 HK.1 JN.2 XBB.2.9 EG.2.4 HV.1.2 EG.5.1.12 HK.31 BA.2.86.3 JN.3.1 JD.1.1.6 XBB.2.3.18 XCV HV.1.7 HK.29 XBB.1.5.87 GE.1.6 JC.1 JD.1.1.3 HK.3.2 JD.1.1.5 EG.7 FL.4.4 JD.2 GJ.6 XAA XBB.1.9.7 GJ.5 FP.2.1.1 FL.24 EG.5.2.4 XCM EG.14 JJ.1 HN.6 HK.9 FY.2.1 GK.5 FL.17.1 HK.3.12 HG.3 GS.5 GA.4.2 GE.1.2 XBB.1.9.6 XBB.1.16.27 HK.6 FL.2.3.1	0.25190174 0.08988970 0.06199651 0.05561969 0.04194015 0.04127200 0.04021386 0.03439177 0.03238002 0.02967527 0.02931954 0.02575895 0.02181341 0.01035570 0.00936288 0.00820774 0.00783080 0.00768201 0.00660390 0.00597997 0.00527983 0.00473846 0.00460526 0.00458380 0.00458380 0.00416320 0.00373972 0.00359195 0.00336030 0.00272003 0.00269300 0.00253165 0.00234926 0.00211640 0.00209576 0.00203183 0.00201671 0.00193852 0.00185874 0.00178144 0.00177620 0.00165641 0.00162602 0.00156411 0.00154699 0.00153106 0.00151905 0.00146783 0.00140944 0.00137610 0.00131635 0.00131579 0.00131491 0.00131281 0.00130886 0.00130310 0.00127627 0.00126316 0.00124456 0.00122461 0.00122186 0.00121025 0.00120573 0.00119417 0.00119237 0.00116415 0.00116408 0.00116279 0.00116144 0.00111235 0.00107181 0.00102574 0.00101729 0.00100583 0.00100091	16.322536380870716	97.18757315319533
12.11.23.ENCDEC04.R2__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.9125926239216295), ('Other', 0.011447559033686367)]	JG.3 EG.5.1.6 XBB.1.9.2 GK.1.1 HK.3.1 JN.1 JF.1 HV.1.6.1 HN.3 JN.1.1 FL.1 HK.9 GK.1.1.1 BA.2.86.3 JN.10 XBB.1.16.15 FL.9 FL.6 HK.8.1 HV.1.6 XDF EG.5.1.9 HK.15 FL.1.2 JG.1 HN.5 JD.1.1.6 FL.4.9 FL.1.5 BA.2.86.4 XBB.1.16.16 FL.24 FL.8 JD.1.1.5 HK.13.1 FL.4.5 JD.1.1 FL.22 HK.3.2.2 JD.1.1.3 FL.3.4 BA.2.86.5 GK.1.10 EG.14 EG.11 XCV BA.2.86.1 GA.7.1 GK.1.2 EG.7 JN.9 HK.3.12 FU.5 HV.1.5 HK.13.2 XBB.1.34.1 FL.33 XDG JD.1.1.4 GK.1.7 HV.1.7 FL.37 B.39 XBB.1.45.1 FL.29 HV.1.2 JM.1 XDA FL.13.5 HK.3.4 FY.2.1 EG.4.2	0.17620000 0.10150490 0.09069171 0.06939172 0.06078485 0.05452284 0.05431988 0.02807227 0.02768586 0.02296210 0.01892712 0.01636890 0.01486282 0.01409444 0.01380767 0.01132251 0.00932549 0.00843558 0.00745076 0.00739393 0.00570968 0.00536673 0.00455927 0.00408602 0.00405506 0.00394449 0.00387472 0.00327096 0.00317947 0.00313676 0.00305176 0.00294742 0.00288081 0.00275462 0.00266033 0.00263389 0.00257637 0.00229358 0.00228544 0.00215672 0.00215159 0.00214790 0.00208209 0.00200321 0.00187953 0.00184843 0.00184314 0.00180369 0.00177963 0.00169202 0.00161137 0.00158659 0.00157345 0.00155602 0.00154679 0.00153563 0.00151573 0.00147456 0.00138629 0.00135962 0.00133690 0.00132030 0.00125277 0.00120463 0.00118996 0.00117233 0.00117096 0.00116212 0.00110742 0.00108095 0.00106854 0.00104657	16.690500249993207	96.11744641005919
12.04.23.ENCDEC01.R2__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.9118492527814314), ('Other', 0.0030681999979262327)]	JD.1.1 HV.1.1 JG.3.2 JD.1.2 HV.1 EG.5.1 JN.1 EG.5 JE.1.1 XBB.1.5.63 GJ.1.2.1 HV.1.3 JF.1 FL.1.5.2 HK.23 XBB.1.15.1 HK.13.2 EG.5.1.9 JD.1.1.1 EG.5.1.7 EG.7 HV.1.5 HV.1.6.1 FL.29 BA.2.86.4 FL.2.3.1 EG.5.2.3 HV.1.7 JD.1.1.6 FL.22 EG.5.1.16 BA.2.86.3 EG.11 EG.5.1.12 XBB.1.5.99 GJ.1.2.4 FL.36 XCP XBB.1.5.85 XBB.1.45.1 XBB.1.5.23 BA.2.86.1 FL.1.2 XBB.1.5.35 JN.1.1 FL.4.6 JN.2.1 EG.5.1.17 EG.5.2.4 EK.2 HK.3.12 XBB.1.43.1 FG.3 EG.2.4 XBB.1.16.27 FY.2.1 XBB.1.5.38 XBB.1.34.1 XBB.1.37.1 XBB.1.5.105 GA.4.1.2 XBB.1.5.11 XCM FL.11 XBB.1.24.3 JN.9 JD.1.1.5 FL.13.2.1 HC.3 HK.3.2.2 XBB.1.9.6 JR.1.1.1	0.35769164 0.09442030 0.05184600 0.04742595 0.04334448 0.04153686 0.03507847 0.02043292 0.01909521 0.01810117 0.01622575 0.01438850 0.01094976 0.01027604 0.00911488 0.00785896 0.00694074 0.00555734 0.00550826 0.00469484 0.00431177 0.00388500 0.00337838 0.00328568 0.00293099 0.00274401 0.00264317 0.00247945 0.00237424 0.00232404 0.00221647 0.00221206 0.00216908 0.00209745 0.00208768 0.00202341 0.00193705 0.00190718 0.00188981 0.00188119 0.00180785 0.00175656 0.00175593 0.00172791 0.00170843 0.00168483 0.00154381 0.00154052 0.00152542 0.00150716 0.00149976 0.00145191 0.00144092 0.00141509 0.00140619 0.00139174 0.00136006 0.00133425 0.00130293 0.00127602 0.00125264 0.00123493 0.00116102 0.00114143 0.00111483 0.00109642 0.00107943 0.00105062 0.00103088 0.00102661 0.00102319 0.00100200	15.451570979347782	98.50182255960941
12.11.23.ENCDEC06.R1__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.9133452650831382), ('Other', 0.03134107905686443)]	EG.5.1.6 JN.10 HV.1.1 JN.1 EG.5.1.4 JG.3 EG.5.1.3 JF.1 JN.1.2 FL.1.5.2 HK.3.1 EG.5.1.17 EG.5 XBB.1.9.2 BA.2.86.3 XCH.1 HK.8 JG.4 XDC HK.19 EG.6 HK.13.2 EG.5.1.9 XBB.1.9.4 JD.1 JN.1.1 HK.13.1 JD.1.1.5 HK.15 HK.20.1 XCP HV.1.2 KB.3 JD.1.1.6 JR.1.1.1 HK.24.1 HV.1.5 HK.3.2.2 JG.2 EG.11 HK.24 JD.1.1.3 HK.3.12 JN.2 XCT JD.1.2.1 XCV HV.1.7 XBB.1.9.7 JN.9 HK.8.1 GM.1 XDG EG.1.3 XCW EG.5.1.12 XBB.1.16.27 HK.9 CM.8.1.5 HK.26.1 XCR XBB.1.9.5 JB.1.1	0.14810212 0.14399526 0.07588066 0.07198208 0.06182615 0.05161511 0.04082607 0.03488456 0.03073160 0.02801603 0.02734064 0.02596491 0.01903252 0.01581017 0.01451740 0.01367767 0.01043496 0.00993827 0.00806988 0.00761521 0.00717482 0.00680272 0.00671141 0.00580644 0.00541824 0.00432432 0.00430704 0.00414446 0.00352526 0.00351803 0.00335059 0.00283822 0.00277008 0.00253256 0.00225683 0.00207716 0.00206612 0.00200669 0.00185185 0.00182983 0.00173551 0.00168587 0.00158988 0.00147820 0.00146389 0.00145655 0.00137830 0.00136654 0.00123508 0.00122228 0.00122100 0.00121359 0.00117386 0.00117206 0.00116395 0.00112157 0.00110184 0.00109429 0.00108972 0.00106404 0.00106294 0.00101845 0.00100301	16.02654735078651	96.80968464702538
12.11.23.PLDEC04.R2__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.8941753236390267), ('Other', 0.027019876981798512)]	HK.6 HV.1.2 HK.19 JN.1 HK.12 HV.1 JN.10 FL.1.5.2 XDC EG.5.1.4 JF.1 HK.7 HK.24 JD.1.1.1 HV.1.6 JN.5 JG.4 JN.1.1 EG.11 HK.13.1 EG.4 HV.1.1 HK.26 XCP HK.27 JD.1.1.6 HK.3.10 XBB.1.16.9 JN.8 EG.5.1.9 HV.1.5 XCV XDF JD.1.1.5 XCZ HK.23 HK.31 JN.2 XCH.1 JD.1.1.2 HK.22 HK.30 HK.15 BA.2.86.3 JD.1.1.4 FU.5 HV.1.4 HK.3.12 XDG XBB.1.16.27 JR.1.1.1 EG.5.1.12 EK.2 HK.34.1 HK.2 EG.2.5 HF.1.1 HK.9 EG.1.3 JD.1.2.1 EG.6 HK.16 XBB.1.45.1 JN.9 GK.4 EG.2.4 HV.1.7 JN.7 EU.1.1.3 HZ.2 JD.2 EG.14 JN.3.1 XBB.1.9.6 GK.1.8 XBB.1.34.1 BA.2.86.5 HK.29	0.40204315 0.07999659 0.06939115 0.06579140 0.04307327 0.03201281 0.01914359 0.01340248 0.01339879 0.01083627 0.00958831 0.00907760 0.00856360 0.00765362 0.00668101 0.00641174 0.00571316 0.00503894 0.00365015 0.00361373 0.00347322 0.00332281 0.00308172 0.00300055 0.00294830 0.00292194 0.00288154 0.00277649 0.00263852 0.00254681 0.00245851 0.00240645 0.00229709 0.00224149 0.00223888 0.00220223 0.00219058 0.00214106 0.00208333 0.00204960 0.00198569 0.00194780 0.00188679 0.00182835 0.00176336 0.00170276 0.00167297 0.00161769 0.00159479 0.00159221 0.00156986 0.00156740 0.00154420 0.00152796 0.00152702 0.00150494 0.00146005 0.00143988 0.00141758 0.00141323 0.00137661 0.00135777 0.00133741 0.00132682 0.00130702 0.00129149 0.00127280 0.00124417 0.00120558 0.00120240 0.00119083 0.00113621 0.00111982 0.00110906 0.00105652 0.00105346 0.00103711 0.00102312	15.496139730211542	98.35468013242819
12.04.23.SBDEC03.R2__NA__NA__231215_WW__00X.tsv	[('Omicron', 0.9331378367692627), ('Other', 0.0016373799616983221)]	HV.1.2 JN.1 HV.1 JN.8 EG.5.1.4 JN.1.1 FL.1.5.2 JG.3 JN.1.2 JD.2 JD.1.1.2 JD.1.1.6 JD.1 HV.1.6 KC.1 EG.4.2 XBB.1.5.102 JN.10 EG.5.1.10 JD.1.1.5 HK.20 HV.1.7 JF.1 BA.2.86.3 XDG HK.3.12 EG.5.1.12 JN.3 EG.14 JN.2 JJ.1 HK.13.1 XBB.1.47 FU.5	0.35018300 0.23873737 0.12652306 0.08077085 0.02362140 0.01580040 0.01486952 0.01432610 0.00861423 0.00767567 0.00527265 0.00512013 0.00500381 0.00299324 0.00299141 0.00271878 0.00263850 0.00241907 0.00227303 0.00222998 0.00189573 0.00182334 0.00175579 0.00173948 0.00163738 0.00156507 0.00150171 0.00136993 0.00120928 0.00118008 0.00116816 0.00110534 0.00103245 0.00100929	18.52287679642243	99.00010032438217
